"","MR1","MR2"
"item19",0.272072688430869,-0.000213751011520741
"item20",0.0268397950359624,-0.010515098941271
"item21",0.278895561401385,-0.0587265560048952
"item22",0.24286583368131,-0.0885170105649516
"item23",0.473821061535432,-0.0647799330157874
"item24",0.544038305710117,-0.0893139633393913
"item25",0.281505209269964,-0.0129467894625807
"item26",0.139260805130818,0.171347861583106
"item27",0.344095231274486,0.0793943182652266
"item28",0.174322518101143,-0.216677458897478
"item29",0.213601735523451,0.197700104907227
"item30",0.446853565988208,0.00359351687419962
"item31",-0.00668974777888651,0.123628822692268
"item32",0.14647332162456,0.5570062900058
"item33",0.0132607095136728,0.605991233332651
"item34",0.112977727177604,0.400028714223147
"item35",0.0100583844585234,0.552559165646347
"item36",-0.026994726871166,0.589065052804755
"item37",0.145795152097243,0.548589780258084
"item38",-0.0218646471068975,0.65190515945445
"item39",0.111118596433515,0.383037591582508
"item40",0.0298255184910605,0.504673695628551
"item41",0.110076270670364,0.513663462096381
"item42",0.113712234724457,0.322512726461256
"item43",-0.0325284255368943,0.572329512873492
"item44",0.190013576456772,0.00513195422265855
"item45",0.00509743890710126,0.320751859360932
"item46",0.0435998779492485,0.559666879258743
"item47",0.120024660845894,0.510290125466206
"item48",0.107329186170849,0.452653148360381
"item49",-0.056849266588295,0.487093742107803
"item50",-0.114073668657586,0.695765017172433
"item51",0.114856760809399,0.61649054000889
"item52",0.0833072729573404,0.631488658030679
"item53",0.00767087631567159,0.611269642252682
"item54",-0.0909983749553074,0.380605051948687
"item55",0.160486048457679,-0.713276031827215
"item56",-0.116354981107066,0.730161865074751
"item57",0.0057730587036075,0.294427081747628
"item58",-0.0183445243650989,0.648974347875649
"item59",0.0949251075029321,0.613376717798342
"item60",-0.0473907087730411,0.642863897243622
"item62",0.0347235792710275,0.451481954149379
"item63",0.285077625159256,0.10800208770383
"item64",0.642288344967031,0.0560210086405491
"item65",0.345516081450056,-0.0481098935024026
"item66",0.269743701282541,0.266627008106522
"item67",0.252598091574361,0.262939942974658
"item68",0.519934798656325,-0.500219482215644
"item69",0.40424622806666,0.103269266394075
"item70",0.357770627326624,0.0952640426165039
"item71",0.378628652224867,-0.192446163321497
"item72",0.36509577559435,0.111475299075113
"item73",0.556888424249313,0.0811280469230216
"item74",0.328392974682115,0.375199533536312
"item75",0.528792393777842,-0.203306955183419
"item76",0.514561107606047,0.0573954469079231
"item77",0.317523393958727,0.272930226652178
"item78",0.547434381668734,-0.130459189542812
"item79",0.59763576538907,-0.0747184206700419
"item80",0.266624286417034,0.499074199762426
"item81",0.507994145935388,0.227917585920247
"item82",0.58622577456342,-0.143941485678093
"item83",0.663966355811581,-0.111495499512855
"item84",0.528258306612862,0.0430324170655304
"item85",0.574052152268164,0.188675300580646
"item86",0.646813153194782,-0.097366541936967
"item87",0.581625599700728,-0.0503476287742874
"item88",0.479030473796913,-0.188586830106164
"item89",0.514916971403338,0.0418426420960068
"item90",0.403467194621136,-0.0183797714724608
"item91",0.491359986526215,0.0182150582857842
"item92",0.12251789216579,0.544359545946808
"item93",0.343177433780048,-0.165896574819596
"item94",0.42807218922251,0.216770530718861
"item95",-0.0312567449949915,0.65901966897057
"item96",0.415384871471257,-0.37003184345013
"item97",-0.0172205848617709,0.51605049587368
"item98",-0.0860866746559076,0.734999722424519
"item99",0.259725710152363,0.38907788748606
"item100",0.106461468842683,0.534486049078859
"item101",0.381729779780721,0.257772585779701
"item102",0.5666812135737,0.0910623070452046
"item103",0.449811609965567,-0.119720458521855
"item104",0.373965647576206,-0.171038095874726
"item105",0.591375515807155,0.17345371804941
"item106",0.599568578831226,0.126581395058115
"item107",0.50435164263009,0.0577660645632445
"item108",0.66260538118734,0.159074356875599
"item109",0.607867540247939,-0.158829861157595
"item110",0.459566706884164,0.121469788754522
"item111",0.523862500694254,-0.142750487814086
"item112",0.106864667330203,0.227368010830538
"item113",0.578497190993363,0.100309744159108
"item114",0.440434434813145,0.13644670258165
"item115",0.315608716805525,0.172013353948193
"item116",0.369757203525426,0.0830360709175461
"item117",0.413665529096547,0.0278901204181016
